,0,1,2
769,Louisiana,Richland,1792.0412731853176
470,Illinois,Marshall,1989.8321610722505
1353,South Carolina,Clarendon,302.1189858387943
326,Georgia,Peach,3986.4647103155257
1771,Vermont,Windsor,631.5800849618054
1006,Missouri,Lewis,3540.599773180046
1793,Virginia,Craig,760.0772501276451
1373,South Carolina,Marlboro,1561.8014158457217
1122,North Carolina,Hoke,-359.76650939213687
158,Florida,Brevard,6842.341377096376
1562,Texas,Gaines,-104.75646188694827
303,Georgia,Lee,7692.068298167553
1033,Missouri,Platte,-449.1777710079523
800,Michigan,Benzie,2487.1028686759446
84,Arkansas,Boone,532.4592498632737
436,Illinois,Edgar,143.73989669899674
1285,Oklahoma,Dewey,1981.1558269658908
243,Georgia,Chattooga,1864.4444325819923
1648,Texas,Moore,-289.4096067162018
1473,Tennessee,Warren,1801.409667761115
885,Mississippi,Coahoma,1427.5290985752326
927,Mississippi,Pontotoc,3533.5164836889417
1582,Texas,Haskell,1317.50196660452
448,Illinois,Hardin,643.2876803358822
1083,North Carolina,Beaufort,1683.1471600433379
1828,Virginia,Mathews,7426.513910276522
1246,Ohio,Ross,2201.2610154875238
883,Mississippi,Clarke,923.2076627156403
703,Kentucky,Oldham,627.9173103831154
1610,Texas,Kent,1108.029837357698
694,Kentucky,Mercer,187.12321765035904
1128,North Carolina,Lee,8616.729662707341
1042,Missouri,Saline,2240.8604399734368
1229,Ohio,Mercer,24375.60298671453
1409,Tennessee,Fentress,1141.7468422691527
7,Alabama,Calhoun,10725.019441234366
852,Michigan,Newaygo,6322.396080961693
1631,Texas,Madison,20511.714650385093
379,Idaho,Benewah,1022.3052762772613
1394,Tennessee,Carroll,3060.533595706931
1016,Missouri,Miller,4734.698062029494
1047,Missouri,Shelby,2275.393861631549
445,Illinois,Grundy,-800.3009597106648
1476,Tennessee,Weakley,4637.844167252828
1066,Nevada,Eureka,64.35519183851193
318,Georgia,Montgomery,2936.519532194531
1465,Tennessee,Stewart,31142.395112977552
1145,North Carolina,Pasquotank,6133.460261971895
1544,Texas,Donley,4325.27611559286
1159,North Carolina,Stanly,1990.5750171447899
1091,North Carolina,Camden,20260.013564243563
607,Iowa,Winneshiek,1311.3242731146838
260,Georgia,Dodge,7012.354541876619
458,Illinois,Kankakee,522.4877241489448
62,Alabama,Washington,4234.968771263671
1358,South Carolina,Edgefield,-162.38328877309777
1626,Texas,Live Oak,4898.663840166288
1546,Texas,Eastland,1093.4129760021015
1860,Virginia,Suffolk,2187.550142679471
1687,Texas,Shelby,2767.623254751271
1226,Ohio,Marion,1312.4960658868367
1882,New York,Bronx,2704.170463738751
1228,Ohio,Meigs,1481.9688157770852
298,Georgia,Johnson,1393.6161442248103
1259,Ohio,Washington,1696.8314169329897
723,Kentucky,Union,1253.6729557136014
440,Illinois,Ford,2155.0352159766917
1556,Texas,Floyd,5188.637008839702
1057,Missouri,Webster,2940.8987795632956
444,Illinois,Greene,532.903114352478
453,Illinois,Jasper,1670.972871945335
677,Kentucky,Letcher,6450.787096208547
1598,Texas,Jackson,-147.6533703218238
1672,Texas,Reeves,1992.4258619387401
1135,North Carolina,Mecklenburg,2726.312298352367
1099,North Carolina,Cleveland,1514.1545393438091
1545,Texas,Duval,-770.2768096232894
285,Georgia,Hancock,3.4832965338291615
1455,Tennessee,Putnam,134.58801569653315
1026,Missouri,Osage,3836.2509283222635
1300,Oklahoma,Kingfisher,180.1646899300622
211,Florida,Taylor,62.35688884375031
1199,Ohio,Fayette,4817.438957447517
107,Arkansas,Greene,5751.7652229688665
1740,Utah,Garfield,2427.3108908743916
518,Iowa,Benton,2090.7763245111882
702,Kentucky,Ohio,-110.04736075986239
1277,Oklahoma,Cleveland,1966.1985937021827
511,Illinois,Winnebago,2748.012958087821
654,Kentucky,Green,4582.110727117102
1323,Oklahoma,Pittsburg,-674.4546296948774
336,Georgia,Richmond,790.8169254126433
159,Florida,Broward,8638.271058415792
580,Iowa,Monroe,1722.758855707727
1050,Missouri,Sullivan,775.6357511301176
499,Illinois,Stephenson,74883.62980323029
1336,Oklahoma,Washington,4112.872618485457
15,Alabama,Coffee,1974.5586876036214
1709,Texas,Uvalde,2943.903040907575
133,Arkansas,Phillips,1602.5104027126208
1450,Tennessee,Obion,2454.330748375809
686,Kentucky,Marshall,2230.779387762097
1080,North Carolina,Anson,3440.1151436226846
64,Alabama,Winston,2190.1884165068113
1434,Tennessee,Lawrence,18939.558798328828
653,Kentucky,Grayson,5220.250325774403
1271,Oklahoma,Caddo,3955.2530532412966
271,Georgia,Fayette,866.4493021841581
435,Illinois,Douglas,5996.311489957567
1737,Utah,Davis,22064.811792600747
1810,Virginia,Greensville,2356.8109646624907
1776,Virginia,Appomattox,1614.7335164311553
1268,Oklahoma,Beckham,1669.5801480948812
12,Alabama,Clarke,3710.028776928797
1422,Tennessee,Haywood,1386.2604630754122
1038,Missouri,Randolph,2199.447770980777
110,Arkansas,Howard,9454.578163720409
1446,Tennessee,Monroe,1635.2960173953725
181,Florida,Holmes,2116.7882309729184
948,Mississippi,Wilkinson,2570.5880485362923
1,Alabama,Baldwin,2700.1972007989207
1837,Virginia,Northumberland,2659.4945459717237
162,Florida,Citrus,2249.205718314587
926,Mississippi,Pike,1835.574258171091
465,Illinois,Logan,5006.302259767057
38,Alabama,Lawrence,7790.242246897167
1304,Oklahoma,Logan,35567.310209439616
829,Michigan,Kalamazoo,1529.2481017576602
1597,Texas,Jack,10740.041881315547
612,Kentucky,Allen,-68.34944818040094
35,Alabama,Jefferson,4657.796755104835
1732,Utah,Beaver,2803.3088701706893
1608,Texas,Kendall,6631.528781537547
88,Arkansas,Chicot,3878.467255166499
563,Iowa,Jefferson,700.721386117696
1701,Texas,Throckmorton,3954.1002226046176
1642,Texas,Midland,-1508.9260298690397
1349,South Carolina,Charleston,512.926397895978
1781,Virginia,Bland,1904.624564870047
699,Kentucky,Muhlenberg,1445.2839549708478
1262,Ohio,Wood,3894.023706627213
21,Alabama,Cullman,1815.2630201056
698,Kentucky,Morgan,207.84425345367345
