,state,county,votes,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,score
1684,Texas,McCulloch,43,8199,8283,-1.0,8283,6.2,23.4,21.7,50.2,94.4,2.8,1.0,0.6,0.0,1.2,31.1,65.2,84.7,6.2,19.3,77.1,15.0,585,17.5,4282,76.7,7.8,69300,2967,2.75,20677,39194,16.6,217,2489,-1.1,713,1150,0.0,0.0,0.0,0.0,0.0,0.0,0,31149,104265,13357,8752,0,1065.6,7.8,44031.75
1685,Texas,McLennan,2633,243441,234906,3.6,234906,7.1,24.8,13.4,51.2,80.3,15.1,1.1,1.6,0.1,1.8,25.2,57.3,80.1,8.3,19.3,82.3,21.7,16215,18.8,97280,59.6,23.6,108300,84862,2.69,21660,41922,22.0,5022,96751,3.1,13846,16888,5.1,0.7,1.6,0.0,8.9,28.4,5888916,4606220,2942576,12892,375262,1468,1037.1,226.5,44031.75
1686,Texas,McMullen,1,805,707,13.9,707,4.1,20.5,22.9,48.8,95.0,1.4,0.5,0.5,0.0,2.6,37.8,59.4,91.2,10.6,52.5,67.0,6.8,47,12.4,486,81.1,1.3,63200,254,2.43,27375,39500,19.2,36,424,35.5,111,87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1139.43,0.6,44031.75
1687,Texas,Medina,435,47894,46006,4.1,46006,5.5,23.9,15.5,48.4,93.9,2.8,1.0,0.9,0.1,1.2,50.9,44.9,89.4,5.5,34.0,80.5,20.0,4392,29.7,18080,78.1,5.6,112900,15284,2.86,22413,55326,17.7,687,6548,6.9,3142,3877,0.0,0.0,0.0,0.0,28.6,0.0,75313,189912,360081,8231,29785,49,1325.36,34.7,44031.75
1688,Texas,Menard,16,2147,2242,-4.2,2242,4.8,17.6,30.1,50.0,95.9,1.7,1.4,0.3,0.1,0.6,35.4,62.2,81.3,4.9,27.6,75.3,18.8,277,20.6,1702,72.1,2.7,56400,871,2.49,18253,31215,23.5,39,0,0.0,263,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6667,16323,7758,0,0,902.03,2.5,44031.75
1689,Texas,Midland,852,155830,136875,13.8,136872,8.4,27.6,10.2,49.8,88.9,6.8,1.1,1.6,0.1,1.5,42.4,48.6,81.5,8.7,30.0,81.8,24.4,8820,18.8,57999,67.7,23.1,148600,50644,2.78,33672,62993,10.4,4977,79755,8.5,14947,16151,2.5,0.0,3.1,0.0,16.0,24.0,533829,2411656,2276743,18058,259193,1553,900.3,152.0,44031.75
1690,Texas,Milam,252,24256,24758,-2.0,24757,6.3,24.8,19.4,50.3,86.7,10.0,1.2,0.7,0.0,1.3,25.5,63.2,85.9,4.6,15.1,81.2,14.4,1921,25.8,11374,68.4,7.0,78400,9330,2.58,21248,37391,19.2,398,4168,-0.6,1568,1834,0.0,0.0,0.0,0.0,0.0,26.9,0,87312,181361,7334,17678,10,1016.93,24.3,44031.75
1691,Texas,Mills,41,4870,4936,-1.3,4936,4.9,22.4,25.2,51.0,96.5,1.1,0.9,0.2,0.0,1.2,17.3,80.3,94.4,7.3,11.5,81.5,21.9,411,17.5,2849,80.1,2.7,104100,1817,2.59,22651,44213,13.1,109,876,3.5,426,661,0.0,0.0,0.0,0.0,0.0,0.0,0,0,70373,14123,2080,0,748.26,6.6,44031.75
1692,Texas,Mitchell,31,9076,9403,-3.5,9403,5.3,20.0,13.8,39.9,84.1,11.9,1.5,0.7,0.1,1.7,39.2,48.5,74.6,6.4,26.6,75.3,8.3,625,22.5,4049,74.6,5.7,45800,2748,2.53,15936,42045,11.7,143,1601,5.7,458,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3384,55754,6003,3667,5,911.09,10.3,44031.75
1693,Texas,Montague,122,19416,19720,-1.5,19719,6.0,23.0,21.5,50.8,96.0,0.8,1.4,0.4,0.0,1.4,10.5,86.5,85.2,4.6,9.1,82.0,16.6,1847,25.5,10154,75.6,9.0,86000,8038,2.41,24699,44231,15.6,420,4722,4.3,1886,2204,0.0,0.0,0.0,0.0,0.0,31.5,0,38556,213681,10894,10935,0,930.91,21.2,44031.75
1694,Texas,Montgomery,5040,518947,455764,13.9,455746,6.8,26.8,12.0,50.5,89.6,4.9,1.0,2.7,0.1,1.7,22.5,68.6,83.5,12.9,19.2,86.3,30.7,32099,31.7,195381,72.9,15.5,166200,163462,2.87,32911,67766,12.4,9945,136265,6.3,41229,40269,0.0,0.0,2.1,0.0,9.7,25.9,3667010,6399326,5260066,12748,728582,7145,1041.74,437.5,44031.75
1695,Texas,Moore,81,22148,21904,1.1,21904,9.5,31.3,10.2,47.9,85.5,3.0,1.5,8.6,0.2,1.2,52.8,34.9,80.6,28.3,54.1,67.5,13.2,582,16.4,7983,72.8,12.6,85600,6820,3.2,19770,51181,15.4,460,8332,0.7,1013,1437,0.0,0.0,0.0,0.0,26.0,0.0,0,0,217873,10995,22995,16,899.69,24.3,44031.75
1696,Texas,Morris,144,12743,12934,-1.5,12934,6.3,22.9,21.0,52.0,73.1,23.0,1.2,0.5,0.1,2.0,9.1,65.1,84.4,4.3,7.6,82.0,13.1,1204,23.1,6020,74.2,7.3,69900,4949,2.56,20045,37849,20.6,235,4183,-3.8,797,1102,7.4,3.6,0.0,0.0,0.0,36.9,1140439,138930,70300,5402,8814,1,251.99,51.3,44031.75
1697,Texas,Motley,6,1153,1210,-4.7,1210,3.7,19.9,28.4,48.4,95.1,2.1,1.7,0.9,0.0,0.2,16.5,79.9,83.5,2.5,10.5,86.8,18.1,74,17.8,779,66.3,3.0,59800,433,2.73,18828,35845,25.5,27,130,0.0,124,257,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5220,4085,310,0,989.56,1.2,44031.75
1698,Texas,Nacogdoches,827,65301,64524,1.2,64524,7.2,23.5,13.1,52.3,77.3,18.3,0.9,1.7,0.1,1.7,18.5,60.3,77.3,9.2,16.2,80.5,24.3,3412,18.7,27960,58.1,20.1,101700,23586,2.52,20362,36777,25.7,1301,17763,2.9,3830,4826,8.1,0.0,0.0,0.0,3.4,19.1,1418896,0,691236,11048,87801,68,946.54,68.2,44031.75
1699,Texas,Navarro,333,48195,47831,0.8,47735,7.3,26.2,16.2,50.5,81.5,14.0,1.1,0.8,0.9,1.7,25.6,58.0,85.1,11.3,20.5,78.6,16.5,3124,24.2,20459,67.8,11.1,79500,17466,2.68,20327,40795,21.1,940,13346,4.8,3141,3311,3.1,0.0,0.8,0.0,0.0,32.2,758537,285724,471758,9664,42653,23,1009.63,47.3,44031.75
1700,Texas,Newton,529,14138,14445,-2.1,14445,5.6,21.7,17.7,48.4,76.9,20.1,0.8,0.7,0.0,1.5,3.6,73.8,89.2,2.3,3.8,85.1,7.5,1518,33.7,7157,76.8,2.4,77500,4865,2.87,20431,37246,16.1,130,1115,-2.0,626,842,0.0,0.0,0.0,0.0,0.0,0.0,0,9995,50925,3704,1860,0,933.68,15.5,44031.75
1701,Texas,Nolan,122,15093,15217,-0.8,15216,6.6,25.8,16.9,49.7,91.6,5.2,1.0,0.7,0.0,1.5,36.0,57.7,84.4,4.5,22.1,78.7,12.5,1008,17.0,7112,69.7,12.1,52200,5527,2.65,19002,36806,18.5,339,4277,1.0,985,940,0.0,0.0,0.0,0.0,0.0,0.0,224883,0,179695,12325,16810,0,912.0,16.7,44031.75
1702,Texas,Nueces,6172,356221,340223,4.7,340223,6.8,25.3,13.0,50.7,91.2,4.4,0.8,2.0,0.1,1.4,62.4,30.9,80.1,7.7,40.2,79.8,20.0,28867,19.7,145670,58.6,27.5,110300,123915,2.72,23671,47057,18.4,7868,133037,0.6,22777,29355,2.4,0.8,1.9,0.0,35.0,25.3,0,2978505,4314450,13529,661990,2452,838.48,405.8,44031.75
